track,dataset,n_cases,AC@1,AC@3,AC@5,Avg@5,MRR,full_ranking_integrity,rank_metric_sufficient,identical_to_v1,evidence_class,confirmatory
GLOBAL-OPT,re2ob,90,0.8777777777777778,0.9888888888888889,0.9888888888888889,0.9622222222222222,0.9314814814814816,FULL_RANKING_INTEGRITY_PASS,RANK_METRIC_SUFFICIENT_PASS,true,SUPPORTING,false
GLOBAL-OPT,re2tt,90,0.7111111111111111,0.8666666666666667,0.9333333333333333,0.851111111111111,0.8034718881941106,FULL_RANKING_INTEGRITY_PASS,RANK_METRIC_SUFFICIENT_PASS,true,SUPPORTING,false
