dataset,case_id,fold,fault_type,root_service,candidate_count,root_rank,AC@1,AC@2,AC@3,AC@4,AC@5,Avg@5,MRR
re2ob,re2ob-80bf4d093e6ab818,2,cpu,productcatalogservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-84724d7aa2b9dabd,0,cpu,recommendationservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-8f991393cb9debdf,1,loss,emailservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-93de1fab2ca56e86,2,mem,emailservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-97935dcb7cfd6e82,0,mem,emailservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-9e575f44de987a1a,0,cpu,checkoutservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-a6318b7e89546125,2,disk,checkoutservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-a84cfdf477d8bf62,0,loss,currencyservice,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
re2ob,re2ob-abc29368674e8298,2,mem,checkoutservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-acf69e21960f63d8,2,loss,currencyservice,11,3,0.0,0.0,1.0,1.0,1.0,0.6,0.3333333333333333
re2ob,re2ob-af1b6a7e1667e3f5,2,mem,currencyservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-b17ce68eb2ce01ee,0,mem,checkoutservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-b6db72fc58931786,1,delay,productcatalogservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-b78a14faa7ea7263,2,socket,productcatalogservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-b84066a37ca0c417,1,socket,productcatalogservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-bb4a5b75716772f9,0,loss,emailservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-bd6f4fb8e84ccb69,0,socket,currencyservice,11,2,0.0,1.0,1.0,1.0,1.0,0.8,0.5
re2ob,re2ob-c2ac02db4e3370a9,2,disk,productcatalogservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-c9c8f348d3f5974b,0,loss,recommendationservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-ca26cbb7c2cc0c87,0,delay,recommendationservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-ce3f410f61f739c2,1,mem,recommendationservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-ce93ebf8eb13a5ed,2,socket,recommendationservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-cec5183e3f5418cf,0,cpu,currencyservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-d0382ea6cedfbd82,2,mem,productcatalogservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-d0d93705e784491a,1,disk,productcatalogservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-d3f1403a4a08a3b1,0,cpu,productcatalogservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-d7f2f8eb2f0ad646,1,delay,emailservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-da48e150772a24fd,1,cpu,currencyservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-df7b6eca09a6c41f,1,loss,recommendationservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-df7e831dddfac76c,2,delay,emailservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-e16e6de30ae75ccd,2,cpu,emailservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-e357bd8aec246cdb,2,socket,currencyservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-e849d2be7be5c713,0,socket,recommendationservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-eb8f50fda4f9095f,1,disk,currencyservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-f209212fc63ac713,1,mem,emailservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-f2b4cc2f87b35c03,2,disk,recommendationservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
