dataset,rank,count,fraction,cumulative_fraction,mean_rank,median_rank,p90_rank,worst_rank,evidence_class,confirmatory
re2ob,1,79,0.8777777777777778,0.8777777777777778,1.1888888888888889,1.0,2.0,6,DESCRIPTIVE,false
re2ob,2,8,0.08888888888888889,0.9666666666666667,1.1888888888888889,1.0,2.0,6,DESCRIPTIVE,false
re2ob,3,2,0.022222222222222223,0.9888888888888889,1.1888888888888889,1.0,2.0,6,DESCRIPTIVE,false
re2ob,6,1,0.011111111111111112,1.0,1.1888888888888889,1.0,2.0,6,DESCRIPTIVE,false
re2tt,1,64,0.7111111111111111,0.7111111111111111,2.2666666666666666,1.0,4.0,27,DESCRIPTIVE,false
re2tt,2,10,0.1111111111111111,0.8222222222222222,2.2666666666666666,1.0,4.0,27,DESCRIPTIVE,false
re2tt,3,4,0.044444444444444446,0.8666666666666667,2.2666666666666666,1.0,4.0,27,DESCRIPTIVE,false
re2tt,4,5,0.05555555555555555,0.9222222222222223,2.2666666666666666,1.0,4.0,27,DESCRIPTIVE,false
re2tt,5,1,0.011111111111111112,0.9333333333333333,2.2666666666666666,1.0,4.0,27,DESCRIPTIVE,false
re2tt,7,1,0.011111111111111112,0.9444444444444444,2.2666666666666666,1.0,4.0,27,DESCRIPTIVE,false
re2tt,8,1,0.011111111111111112,0.9555555555555556,2.2666666666666666,1.0,4.0,27,DESCRIPTIVE,false
re2tt,11,1,0.011111111111111112,0.9666666666666667,2.2666666666666666,1.0,4.0,27,DESCRIPTIVE,false
re2tt,15,2,0.022222222222222223,0.9888888888888889,2.2666666666666666,1.0,4.0,27,DESCRIPTIVE,false
re2tt,27,1,0.011111111111111112,1.0,2.2666666666666666,1.0,4.0,27,DESCRIPTIVE,false
