dataset,case_id,fault_type,root_service,fold,A1-A0_rank_delta,A1-A0_Avg5_delta,A1-A0_AC1_delta,A3-A2_rank_delta,A3-A2_Avg5_delta,A3-A2_AC1_delta,A2-A0_rank_delta,A2-A0_Avg5_delta,A2-A0_AC1_delta,A3-A1_rank_delta,A3-A1_Avg5_delta,A3-A1_AC1_delta
re2ob,re2ob-97935dcb7cfd6e82,mem,emailservice,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-9e575f44de987a1a,cpu,checkoutservice,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-a6318b7e89546125,disk,checkoutservice,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-a84cfdf477d8bf62,loss,currencyservice,0,-2,0.4,1.0,-3,0.6,0.0,3,-0.6,0.0,2,-0.4,-1.0
re2ob,re2ob-abc29368674e8298,mem,checkoutservice,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-acf69e21960f63d8,loss,currencyservice,2,2,-0.2,0.0,4,-0.6,0.0,-2,0.39999999999999997,0.0,0,0.0,0.0
re2ob,re2ob-af1b6a7e1667e3f5,mem,currencyservice,2,0,0.0,0.0,1,-0.19999999999999996,-1.0,0,0.0,0.0,1,-0.19999999999999996,-1.0
re2ob,re2ob-b17ce68eb2ce01ee,mem,checkoutservice,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-b6db72fc58931786,delay,productcatalogservice,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-b78a14faa7ea7263,socket,productcatalogservice,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-b84066a37ca0c417,socket,productcatalogservice,1,1,-0.19999999999999996,-1.0,0,0.0,0.0,0,0.0,0.0,-1,0.19999999999999996,1.0
re2ob,re2ob-bb4a5b75716772f9,loss,emailservice,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-bd6f4fb8e84ccb69,socket,currencyservice,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-c2ac02db4e3370a9,disk,productcatalogservice,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-c9c8f348d3f5974b,loss,recommendationservice,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-ca26cbb7c2cc0c87,delay,recommendationservice,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-ce3f410f61f739c2,mem,recommendationservice,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-ce93ebf8eb13a5ed,socket,recommendationservice,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-cec5183e3f5418cf,cpu,currencyservice,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-d0382ea6cedfbd82,mem,productcatalogservice,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-d0d93705e784491a,disk,productcatalogservice,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-d3f1403a4a08a3b1,cpu,productcatalogservice,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-d7f2f8eb2f0ad646,delay,emailservice,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-da48e150772a24fd,cpu,currencyservice,1,2,-0.4,0.0,0,0.0,0.0,-1,0.19999999999999996,1.0,-3,0.6,1.0
re2ob,re2ob-df7b6eca09a6c41f,loss,recommendationservice,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-df7e831dddfac76c,delay,emailservice,2,0,0.0,0.0,1,-0.19999999999999996,-1.0,0,0.0,0.0,1,-0.19999999999999996,-1.0
re2ob,re2ob-e16e6de30ae75ccd,cpu,emailservice,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-e357bd8aec246cdb,socket,currencyservice,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-e849d2be7be5c713,socket,recommendationservice,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-eb8f50fda4f9095f,disk,currencyservice,1,0,0.0,0.0,1,-0.19999999999999996,-1.0,0,0.0,0.0,1,-0.19999999999999996,-1.0
re2ob,re2ob-f209212fc63ac713,mem,emailservice,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-f2b4cc2f87b35c03,disk,recommendationservice,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-f30e2feeaa5218b8,delay,productcatalogservice,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-f874f110aae8efa9,delay,currencyservice,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-f88fc943d724a354,socket,productcatalogservice,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-fa8a8fae0fda7c42,cpu,recommendationservice,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2ob,re2ob-fd67c49516fa2028,cpu,currencyservice,2,1,-0.19999999999999996,0.0,1,-0.19999999999999996,-1.0,-2,0.4,1.0,-2,0.4,0.0
re2ob,re2ob-feeaaba6c71377df,loss,productcatalogservice,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-010695b192f8dbea,disk,ts-route-service,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-01d0096e9a504ced,loss,ts-auth-service,2,5,0.0,0.0,-4,0.0,0.0,-2,0.0,0.0,-11,0.0,0.0
re2tt,re2tt-04ce93a682b70df6,mem,ts-train-service,1,-4,0.6,0.0,-2,0.4,1.0,-4,0.6,0.0,-2,0.4,1.0
re2tt,re2tt-0b529d9f6ca88d4b,cpu,ts-auth-service,2,1,-0.19999999999999996,-1.0,0,0.0,0.0,0,0.0,0.0,-1,0.19999999999999996,1.0
re2tt,re2tt-0f6b6213169d6acc,socket,ts-order-service,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-1283c56ed7675282,delay,ts-travel-service,0,-1,0.19999999999999996,0.0,-2,0.4,1.0,-1,0.19999999999999996,0.0,-2,0.4,1.0
re2tt,re2tt-14c6e1b70d0c21e5,loss,ts-auth-service,1,18,-0.8,0.0,-4,0.0,0.0,13,-0.8,0.0,-9,0.0,0.0
re2tt,re2tt-1d48b3aec1ec4470,disk,ts-auth-service,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-20258ce8dbcd2300,loss,ts-travel-service,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-22292d58b67911fb,mem,ts-order-service,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-2782358136a64e6c,disk,ts-auth-service,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-2a03e4ad1a1d6f85,cpu,ts-train-service,0,-1,0.2,0.0,-1,0.19999999999999996,1.0,-4,0.8,0.0,-4,0.8,1.0
re2tt,re2tt-2ae0e149b3ab15f1,socket,ts-order-service,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-2ca7cff33586ca18,socket,ts-train-service,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-2defd6e102bdaf53,cpu,ts-train-service,2,-3,0.6,1.0,0,0.0,0.0,-3,0.6,1.0,0,0.0,0.0
re2tt,re2tt-2fc3d2fb9c492b7c,mem,ts-train-service,0,-6,0.6,0.0,0,0.0,0.0,-4,0.2,0.0,2,-0.39999999999999997,0.0
re2tt,re2tt-35e803c63786ac4e,delay,ts-route-service,1,1,-0.19999999999999996,-1.0,-1,0.20000000000000007,0.0,2,-0.4,-1.0,0,0.0,0.0
re2tt,re2tt-38941ca70beb687a,delay,ts-train-service,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-3bd96ed8cc02f613,delay,ts-train-service,1,-2,0.39999999999999997,0.0,0,0.0,0.0,-4,0.8,1.0,-2,0.4,1.0
re2tt,re2tt-3e24ca7f9747c84e,socket,ts-travel-service,2,-1,0.19999999999999996,1.0,0,0.0,0.0,-1,0.19999999999999996,1.0,0,0.0,0.0
re2tt,re2tt-3fffa88dd3653f99,socket,ts-travel-service,1,4,-0.8,0.0,5,-1.0,-1.0,-1,0.19999999999999996,1.0,0,0.0,0.0
re2tt,re2tt-406c40ff0016fa9c,mem,ts-train-service,2,-7,0.8,0.0,0,0.0,0.0,-8,1.0,1.0,-1,0.19999999999999996,1.0
re2tt,re2tt-420fff915c5f5bc5,mem,ts-route-service,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-426ec979883ae8dc,delay,ts-order-service,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-44604ef8713a5943,loss,ts-order-service,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-472c8339fd3703e9,cpu,ts-route-service,2,-1,0.19999999999999996,1.0,0,0.0,0.0,-1,0.19999999999999996,1.0,0,0.0,0.0
re2tt,re2tt-4780a4f90c190bf4,disk,ts-travel-service,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-56db4956167f9980,cpu,ts-travel-service,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-575015aa80c376c6,loss,ts-route-service,1,-6,1.0,1.0,0,0.0,0.0,-6,1.0,1.0,0,0.0,0.0
re2tt,re2tt-5a65eea398ba8435,delay,ts-train-service,2,-2,0.4,1.0,0,0.0,0.0,-1,0.20000000000000007,0.0,1,-0.19999999999999996,-1.0
re2tt,re2tt-5bb89b87741349d7,cpu,ts-order-service,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-5d2e4747cab0d818,socket,ts-order-service,0,0,0.0,0.0,0,0.0,0.0,1,-0.19999999999999996,-1.0,1,-0.19999999999999996,-1.0
re2tt,re2tt-5f50dc54f6cb9fce,socket,ts-route-service,0,-1,0.19999999999999996,1.0,0,0.0,0.0,0,0.0,0.0,1,-0.19999999999999996,-1.0
re2tt,re2tt-606ef267348d40e5,delay,ts-route-service,0,-1,0.20000000000000007,0.0,1,-0.19999999999999996,-1.0,-2,0.4,1.0,0,0.0,0.0
re2tt,re2tt-653810995a9aa3db,mem,ts-auth-service,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-67172e499653d426,socket,ts-route-service,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-6a0d1ebf31fb52a6,loss,ts-auth-service,0,2,-0.4,-1.0,1,-0.20000000000000007,0.0,1,-0.19999999999999996,-1.0,0,0.0,0.0
re2tt,re2tt-714d157727edd2d0,cpu,ts-route-service,1,-1,0.20000000000000007,0.0,0,0.0,0.0,-2,0.4,1.0,-1,0.19999999999999996,1.0
re2tt,re2tt-722f5f89a57be699,mem,ts-travel-service,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-727331fee88d4ce7,loss,ts-route-service,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-72822d018b0df53f,mem,ts-order-service,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-739ad24f1e2d7c29,delay,ts-travel-service,1,-1,0.19999999999999996,1.0,-1,0.19999999999999996,0.0,2,-0.4,0.0,2,-0.4,-1.0
re2tt,re2tt-783d045c8102f972,delay,ts-auth-service,0,-1,0.19999999999999996,1.0,0,0.0,0.0,-1,0.19999999999999996,1.0,0,0.0,0.0
re2tt,re2tt-7cff180e5ff1cc71,loss,ts-train-service,1,-2,0.2,0.0,1,-0.19999999999999996,-1.0,-6,1.0,1.0,-3,0.6000000000000001,0.0
re2tt,re2tt-7d3fb265c1c0f9ed,cpu,ts-train-service,1,-6,0.8,0.0,0,0.0,0.0,-6,0.8,0.0,0,0.0,0.0
re2tt,re2tt-7d84c0b80f7f0032,disk,ts-order-service,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-877f6cbd0cb33e7c,loss,ts-train-service,0,-1,0.2,0.0,0,0.0,0.0,-3,0.6000000000000001,0.0,-2,0.4,0.0
re2tt,re2tt-93fbbdf23f58f440,cpu,ts-route-service,0,-17,0.8,0.0,1,-0.19999999999999996,-1.0,-18,1.0,1.0,0,0.0,0.0
re2tt,re2tt-94bd05feab03461e,loss,ts-route-service,0,-1,0.19999999999999996,1.0,0,0.0,0.0,-1,0.19999999999999996,1.0,0,0.0,0.0
re2tt,re2tt-995607e863fb7731,disk,ts-order-service,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-a0c0a90c5448e7fa,cpu,ts-auth-service,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-a141811c79edaa0b,delay,ts-route-service,2,-1,0.19999999999999996,1.0,-3,0.6,1.0,2,-0.4,0.0,0,0.0,0.0
re2tt,re2tt-a33887653c475d04,mem,ts-route-service,2,-1,0.19999999999999996,1.0,1,-0.19999999999999996,-1.0,-1,0.19999999999999996,1.0,1,-0.19999999999999996,-1.0
re2tt,re2tt-a7213c3da47edbd0,socket,ts-train-service,1,-2,0.4,0.0,0,0.0,0.0,-3,0.6,1.0,-1,0.19999999999999996,1.0
re2tt,re2tt-aa71e41ec8e7922d,socket,ts-auth-service,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-ae09714023e727e1,mem,ts-auth-service,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-afdac60e6b000d3c,loss,ts-order-service,0,3,-0.6,-1.0,1,0.0,0.0,6,-1.0,-1.0,4,-0.4,0.0
re2tt,re2tt-b2342b2478b249cb,disk,ts-train-service,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-b5173d4edf252af8,disk,ts-route-service,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-bbbcbf7787fa152c,mem,ts-auth-service,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-bc9cd2d131533d16,mem,ts-travel-service,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-bed634aec03e773f,socket,ts-travel-service,0,-1,0.19999999999999996,1.0,0,0.0,0.0,-1,0.19999999999999996,1.0,0,0.0,0.0
re2tt,re2tt-c1b234f6cc4acbee,disk,ts-auth-service,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-c7f9112580bfde33,disk,ts-train-service,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-c82529d65e13adc0,socket,ts-auth-service,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-c8fbd9a7d1e92284,disk,ts-travel-service,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-cb1f1df38c99005a,socket,ts-auth-service,2,-1,0.19999999999999996,1.0,0,0.0,0.0,-1,0.19999999999999996,1.0,0,0.0,0.0
re2tt,re2tt-cb3381bf9ed05034,loss,ts-travel-service,1,7,-0.6,0.0,3,0.0,0.0,5,-0.6,0.0,1,0.0,0.0
re2tt,re2tt-cc6c772d4116d054,delay,ts-auth-service,2,4,0.0,0.0,5,0.0,0.0,1,0.0,0.0,2,0.0,0.0
re2tt,re2tt-cdf514b035f34990,disk,ts-order-service,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-d0a74725c5d96362,delay,ts-order-service,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-d14727a3c74e9768,socket,ts-route-service,2,-2,0.4,1.0,0,0.0,0.0,-2,0.4,1.0,0,0.0,0.0
re2tt,re2tt-d4b1d66aaaa1a728,cpu,ts-order-service,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-d83931768111dc58,disk,ts-travel-service,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-e3f89de859062727,cpu,ts-travel-service,2,0,0.0,0.0,-1,0.19999999999999996,1.0,1,-0.19999999999999996,-1.0,0,0.0,0.0
re2tt,re2tt-e44ccb97e7cc1570,cpu,ts-auth-service,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-e4be9aa8e249ddf3,delay,ts-order-service,0,0,0.0,0.0,-1,0.19999999999999996,0.0,2,-0.4,0.0,1,-0.20000000000000007,0.0
re2tt,re2tt-e76e500ff655313b,delay,ts-auth-service,1,14,0.0,0.0,4,0.0,0.0,16,0.0,0.0,6,0.0,0.0
re2tt,re2tt-e9071bdee1904785,loss,ts-travel-service,2,0,0.0,0.0,0,0.0,0.0,1,-0.19999999999999996,0.0,1,-0.19999999999999996,0.0
re2tt,re2tt-ee2421859dfb0792,loss,ts-order-service,1,0,0.0,0.0,0,0.0,0.0,1,-0.20000000000000007,0.0,1,-0.20000000000000007,0.0
re2tt,re2tt-f09cbf3636ad02de,cpu,ts-travel-service,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-f1aa29dd3ba2343f,socket,ts-train-service,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-f5512e2434f96386,mem,ts-route-service,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-f578fe138f6d4c7a,mem,ts-travel-service,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-fa81461ebec56b42,disk,ts-train-service,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
re2tt,re2tt-fb57d883cd727c81,delay,ts-travel-service,2,2,-0.4,-1.0,0,0.0,0.0,1,-0.19999999999999996,-1.0,-1,0.20000000000000007,0.0
