path,source_commit,git_blob_sha,sha256,role,canonicality,used_for
scripts/run_final_method.py,9342e06db91945be2e44703437229ba45b18bda8,d60c7f647332b6fa74fd767e49cca6037bfb66b7,3f97a76d2bb2af2e7709195f52105b610878ba5ca6328afe8ada1c0a6bf52584,experiment/audit producer script,EVIDENCE_PRODUCER,P3/P4/optimization/final audit provenance
scripts/run_opt_nested.py,9342e06db91945be2e44703437229ba45b18bda8,2abb2943d44d40b362415184b392ba52e37e625b,a03c49c1371f67bf942de482fc6ef584c484efca741e05b5ff072a752df99cf2,experiment/audit producer script,EVIDENCE_PRODUCER,P3/P4/optimization/final audit provenance
scripts/run_p4_g0.py,9342e06db91945be2e44703437229ba45b18bda8,989cf4f26744173b08e0072fe8c9f1aa57989d95,c0c42b99aceb2ab38ad47dfa28ff4d97ccaa35e22238db0b3bf9bd91ea1f2aa0,experiment/audit producer script,EVIDENCE_PRODUCER,P3/P4/optimization/final audit provenance
scripts/run_service_identity_probe.py,9342e06db91945be2e44703437229ba45b18bda8,7224aef191247b343bfb068c390ceba58335d600,ee9ee4c55c019ffd8f15ffb6f231259a2b0fbb58fe346f298808a437a71041fd,experiment/audit producer script,EVIDENCE_PRODUCER,P3/P4/optimization/final audit provenance
scripts/run_trace_error_representation_invariant.py,9342e06db91945be2e44703437229ba45b18bda8,163b997ff1a5d15cb0ecead08e592b7995828d3e,4ad35722a1965f769c1643c28a136abafa8179ec5d62b25d51eeacf9aca35b62,experiment/audit producer script,EVIDENCE_PRODUCER,P3/P4/optimization/final audit provenance
src/rca/__init__.py,9342e06db91945be2e44703437229ba45b18bda8,410283c48ff8e733b2f7e939fc861d2687dc8dbd,268a89042ff0e0b63630c4838861d336fb6e9feb9b68cf369936ac41e419f348,supporting RCA implementation,SUPPORTING,frozen repository reproducibility context
src/rca/evaluator.py,9342e06db91945be2e44703437229ba45b18bda8,f1ed82a141eb4f5f8f18f974bd7d92f2da053aa4,1002f10457c422560f27e22b30ccd7ef2c77d68352b750c14376b3bd8197b3fb,frozen V1 method implementation,FROZEN_METHOD,"feature schema, final method, and scorer semantics"
src/rca/evidence_bootstrap.py,9342e06db91945be2e44703437229ba45b18bda8,dcbc26260995bb52822ba20d288a0ff0f599442b,14f21f4a17bef6c9730107ed80d07c1d6e4e9afb88ad09a62c1047fd77369422,evidence producer or final audit implementation,EVIDENCE_PRODUCER,"Evidence Closure, controls, telemetry, replay, or diagnostic evidence"
src/rca/evidence_closure.py,9342e06db91945be2e44703437229ba45b18bda8,5d628fad234d4def24df45ddb06b9e142d5e028b,7e7fd9da7e2eb8e9ddf12bee43f55c3154be7409c55565806f4c0a48807f2195,evidence producer or final audit implementation,EVIDENCE_PRODUCER,"Evidence Closure, controls, telemetry, replay, or diagnostic evidence"
src/rca/evidence_final.py,9342e06db91945be2e44703437229ba45b18bda8,0a71c0bd173d35c98b1f6038a2c2ce6d0fc96415,bece2774695230cad4b788c7ec407aa4c91318ccb56744d1c95a3ae078fd14a2,evidence producer or final audit implementation,EVIDENCE_PRODUCER,"Evidence Closure, controls, telemetry, replay, or diagnostic evidence"
src/rca/evidence_provenance.py,9342e06db91945be2e44703437229ba45b18bda8,836889346ae64c1ea2a1e81a0d1241696d436264,38bc9156a557a3639def57b539525a7924e67116621ce697d1b82d2f618c4ef6,supporting RCA implementation,SUPPORTING,frozen repository reproducibility context
src/rca/evidence_semantics.py,9342e06db91945be2e44703437229ba45b18bda8,07b77eb571523bf59923679474154e3b3af55f79,045ff5822a883e65a8b744cb241562b77d60d02caef2bcb8f9855287c12a82db,supporting RCA implementation,SUPPORTING,frozen repository reproducibility context
src/rca/evidence_telemetry.py,9342e06db91945be2e44703437229ba45b18bda8,f74c193ccf368ef02d7856df7609a0609492bd3b,c49112cc59168bafa722e4e1eee7093b33b720f6538fb90af8f1f176e1cad87a,evidence producer or final audit implementation,EVIDENCE_PRODUCER,"Evidence Closure, controls, telemetry, replay, or diagnostic evidence"
src/rca/evidence_trace_error.py,9342e06db91945be2e44703437229ba45b18bda8,9f05a2403a4769932eed6a34bb9e23030b10e0a6,9849ba8af5ea974ded04eab004f87e1e1039c44d859ffec2454295dd49f915ea,evidence producer or final audit implementation,EVIDENCE_PRODUCER,"Evidence Closure, controls, telemetry, replay, or diagnostic evidence"
src/rca/features.py,9342e06db91945be2e44703437229ba45b18bda8,f965379d7c61aacfaa007c537c4a9f5cf3824068,91d452cc17bb2bdc51712a65e13cd079057f1d112016ef94836bbc13445e0a11,frozen V1 method implementation,FROZEN_METHOD,"feature schema, final method, and scorer semantics"
src/rca/final_audit.py,9342e06db91945be2e44703437229ba45b18bda8,e290ebce85ebc3c76e31c578576bf2c7a3196ef0,582b8072222a44bc5f73b3d350ad11f55708e156e89503a975ade53494260f79,evidence producer or final audit implementation,EVIDENCE_PRODUCER,"Evidence Closure, controls, telemetry, replay, or diagnostic evidence"
src/rca/final_method.py,9342e06db91945be2e44703437229ba45b18bda8,3c7f684e8481bbd257ba457586f8efbf31241abd,8587e9790d6a1d0d73ce9ae3b3149baea6a8e61153475f48f0cdc7143b6dbed7,frozen V1 method implementation,FROZEN_METHOD,"feature schema, final method, and scorer semantics"
src/rca/p4.py,9342e06db91945be2e44703437229ba45b18bda8,351bd7694886258c772965e7785c74647b6d230a,c173cfee9057fd9d9eadc774d19881d0db25357878f2045b77aec79498e77b1a,frozen V1 method implementation,FROZEN_METHOD,"feature schema, final method, and scorer semantics"
src/rca/p4_stats.py,9342e06db91945be2e44703437229ba45b18bda8,19fa15e5aeaa329705ae3cdd6cc296d650b5e6ce,c0355cf61e14845f83f82ab7a58cbe207c881460f8bb48a3c7ac341466333405,supporting RCA implementation,SUPPORTING,frozen repository reproducibility context
src/rca/rcaeval.py,9342e06db91945be2e44703437229ba45b18bda8,c2fcc732f5ab4ad8e63b7989edf12fd060552e74,f051cf71035711f0394705e831912fc9e5432fbaa0d2a78c6d9dc5fb661cd153,supporting RCA implementation,SUPPORTING,frozen repository reproducibility context
src/rca/schema.py,9342e06db91945be2e44703437229ba45b18bda8,a95b7e45be4b0c3d494048492235755fd1e70a53,95407ed538b99f43248a2c146e706e12b72df5e220374dd5576e20d36ecf9a81,supporting RCA implementation,SUPPORTING,frozen repository reproducibility context
src/rca/zero_model.py,9342e06db91945be2e44703437229ba45b18bda8,20c0088afd93554c61090833bf3752d4f14f17cd,84d01f961f6ee293aac1bfbec741a8fc2304f192b6bd3bc5046b70ea4bbd1660,supporting RCA implementation,SUPPORTING,frozen repository reproducibility context
