dataset,variant,AC@1,AC@3,AC@5,Avg@5,MRR,fault_macro_Avg@5,root_macro_Avg@5
re2ob,M,0.8666666666666667,0.9777777777777777,0.9888888888888889,0.9555555555555554,0.9231481481481483,0.9555555555555557,0.9555555555555555
re2ob,L,0.18888888888888888,0.4,0.5888888888888889,0.4000000000000001,0.3811071027737694,0.39999999999999997,0.4
re2ob,TE,0.0,0.2,0.6,0.23999999999999977,0.20388888888888881,0.24,0.24000000000000005
re2ob,TL,0.1,0.5222222222222223,0.7333333333333333,0.43777777777777793,0.34625661375661365,0.43777777777777777,0.4377777777777778
re2ob,M+L,0.9111111111111111,0.9777777777777777,0.9888888888888889,0.9622222222222223,0.9432539682539682,0.9622222222222222,0.9622222222222222
re2ob,M+TE,0.8666666666666667,0.9777777777777777,0.9888888888888889,0.9555555555555554,0.9231481481481483,0.9555555555555557,0.9555555555555555
re2ob,M+TL,0.8333333333333334,0.9888888888888889,1.0,0.9533333333333333,0.907777777777778,0.9533333333333333,0.9533333333333334
re2ob,L+TE,0.14444444444444443,0.4,0.5777777777777777,0.3733333333333334,0.35176847843514497,0.37333333333333335,0.37333333333333335
re2ob,L+TL,0.3,0.6,0.8666666666666667,0.6088888888888888,0.5161243386243386,0.6088888888888889,0.6088888888888889
re2ob,TE+TL,0.06666666666666667,0.5888888888888889,0.7333333333333333,0.4577777777777781,0.34558201058201043,0.4577777777777778,0.45777777777777773
re2ob,FULL-M,0.3,0.6,0.8666666666666667,0.6088888888888888,0.5161243386243386,0.6088888888888889,0.6088888888888889
re2ob,FULL-L,0.8333333333333334,0.9888888888888889,1.0,0.9533333333333333,0.907777777777778,0.9533333333333333,0.9533333333333334
re2ob,FULL-TE,0.8777777777777778,0.9888888888888889,0.9888888888888889,0.9622222222222222,0.9314814814814816,0.9622222222222222,0.9622222222222222
re2ob,FULL-TL,0.9111111111111111,0.9777777777777777,0.9888888888888889,0.9622222222222223,0.9432539682539682,0.9622222222222222,0.9622222222222222
re2ob,FULL-Z2,0.8777777777777778,0.9888888888888889,0.9888888888888889,0.9622222222222222,0.9314814814814816,0.9622222222222222,0.9622222222222222
re2tt,M,0.7111111111111111,0.8555555555555555,0.8666666666666667,0.8288888888888888,0.7964985311863538,0.8288888888888889,0.8288888888888888
re2tt,L,0.06666666666666667,0.18888888888888888,0.28888888888888886,0.1866666666666667,0.1980228812759729,0.18666666666666668,0.1866666666666667
re2tt,TE,0.0,0.0,0.0,0.0,0.039033932348601995,0.0,0.0
re2tt,TL,0.12222222222222222,0.12222222222222222,0.12222222222222222,0.12222222222222222,0.15317315807376053,0.12222222222222223,0.12222222222222223
re2tt,M+L,0.7,0.8333333333333334,0.9,0.8177777777777777,0.7854612771034342,0.8177777777777777,0.8177777777777777
re2tt,M+TE,0.7111111111111111,0.8555555555555555,0.8666666666666667,0.8288888888888888,0.7964985311863538,0.8288888888888889,0.8288888888888888
re2tt,M+TL,0.7888888888888889,0.8444444444444444,0.9,0.851111111111111,0.8369204966573389,0.851111111111111,0.8511111111111112
re2tt,L+TE,0.06666666666666667,0.18888888888888888,0.28888888888888886,0.1866666666666667,0.1980228812759729,0.18666666666666668,0.1866666666666667
re2tt,L+TL,0.18888888888888888,0.4,0.5,0.36666666666666675,0.3379836156200994,0.3666666666666667,0.3666666666666667
re2tt,TE+TL,0.12222222222222222,0.12222222222222222,0.12222222222222222,0.12222222222222222,0.15317315807376053,0.12222222222222223,0.12222222222222223
re2tt,FULL-M,0.18888888888888888,0.4,0.5,0.36666666666666675,0.3379836156200994,0.3666666666666667,0.3666666666666667
re2tt,FULL-L,0.7888888888888889,0.8444444444444444,0.9,0.851111111111111,0.8369204966573389,0.851111111111111,0.8511111111111112
re2tt,FULL-TE,0.7111111111111111,0.8666666666666667,0.9333333333333333,0.851111111111111,0.8034718881941106,0.851111111111111,0.8511111111111112
re2tt,FULL-TL,0.7,0.8333333333333334,0.9,0.8177777777777777,0.7854612771034342,0.8177777777777777,0.8177777777777777
re2tt,FULL-Z2,0.7111111111111111,0.8666666666666667,0.9333333333333333,0.851111111111111,0.8034718881941106,0.851111111111111,0.8511111111111112
