dataset,case_id,fault_type,root_service,fold,M,L,TE,TL,M+L,M+TE,M+TL,L+TE,L+TL,TE+TL,FULL-M,FULL-L,FULL-TE,FULL-TL,FULL-Z2
re2ob,re2ob-84724d7aa2b9dabd,cpu,recommendationservice,0,1,2,9,1,1,1,1,2,2,5,2,1,1,1,1
re2ob,re2ob-8f991393cb9debdf,loss,emailservice,1,1,5,5,3,1,1,1,5,3,3,3,1,1,1,1
re2ob,re2ob-93de1fab2ca56e86,mem,emailservice,2,1,7,5,3,1,1,1,7,6,3,6,1,1,1,1
re2ob,re2ob-97935dcb7cfd6e82,mem,emailservice,0,1,2,5,5,1,1,1,2,1,3,1,1,1,1,1
re2ob,re2ob-9e575f44de987a1a,cpu,checkoutservice,0,1,7,3,3,1,1,1,7,4,1,4,1,1,1,1
re2ob,re2ob-a6318b7e89546125,disk,checkoutservice,2,1,5,3,2,1,1,1,5,4,2,4,1,1,1,1
re2ob,re2ob-a84cfdf477d8bf62,loss,currencyservice,0,6,9,4,6,7,6,5,9,8,3,8,5,6,7,6
re2ob,re2ob-abc29368674e8298,mem,checkoutservice,2,1,6,3,2,1,1,1,6,3,2,3,1,1,1,1
re2ob,re2ob-acf69e21960f63d8,loss,currencyservice,2,3,9,4,3,3,3,2,9,6,3,6,2,3,3,3
re2ob,re2ob-af1b6a7e1667e3f5,mem,currencyservice,2,1,9,4,3,1,1,1,9,6,3,6,1,1,1,1
re2ob,re2ob-b17ce68eb2ce01ee,mem,checkoutservice,0,1,6,3,4,1,1,1,6,3,2,3,1,1,1,1
re2ob,re2ob-b6db72fc58931786,delay,productcatalogservice,1,1,2,8,6,1,1,1,2,1,6,1,1,1,1,1
re2ob,re2ob-b78a14faa7ea7263,socket,productcatalogservice,2,1,5,8,1,1,1,1,6,1,1,1,1,1,1,1
re2ob,re2ob-b84066a37ca0c417,socket,productcatalogservice,1,1,2,8,1,1,1,1,2,1,1,1,1,1,1,1
re2ob,re2ob-bb4a5b75716772f9,loss,emailservice,0,1,1,5,4,1,1,1,1,1,2,1,1,1,1,1
re2ob,re2ob-bd6f4fb8e84ccb69,socket,currencyservice,0,1,9,4,7,1,1,1,9,8,7,8,1,2,1,2
re2ob,re2ob-c2ac02db4e3370a9,disk,productcatalogservice,2,2,2,8,5,1,2,2,3,4,5,4,2,1,1,1
re2ob,re2ob-c9c8f348d3f5974b,loss,recommendationservice,0,1,1,9,1,1,1,1,1,1,8,1,1,1,1,1
re2ob,re2ob-ca26cbb7c2cc0c87,delay,recommendationservice,0,1,3,9,1,1,1,1,3,1,6,1,1,1,1,1
re2ob,re2ob-ce3f410f61f739c2,mem,recommendationservice,1,1,2,9,6,1,1,1,2,1,6,1,1,1,1,1
re2ob,re2ob-ce93ebf8eb13a5ed,socket,recommendationservice,2,1,2,9,5,1,1,1,2,1,5,1,1,1,1,1
re2ob,re2ob-cec5183e3f5418cf,cpu,currencyservice,0,1,6,4,4,1,1,1,6,2,3,2,1,1,1,1
re2ob,re2ob-d0382ea6cedfbd82,mem,productcatalogservice,2,2,1,8,6,1,2,2,2,3,6,3,2,1,1,1
re2ob,re2ob-d0d93705e784491a,disk,productcatalogservice,1,1,3,8,6,1,1,1,3,1,6,1,1,1,1,1
re2ob,re2ob-d3f1403a4a08a3b1,cpu,productcatalogservice,0,1,2,8,7,1,1,1,3,2,4,2,1,1,1,1
re2ob,re2ob-d7f2f8eb2f0ad646,delay,emailservice,1,1,4,5,3,1,1,1,4,2,3,2,1,1,1,1
re2ob,re2ob-da48e150772a24fd,cpu,currencyservice,1,1,10,4,3,1,1,1,10,7,3,7,1,1,1,1
re2ob,re2ob-df7b6eca09a6c41f,loss,recommendationservice,1,1,1,9,6,1,1,1,1,1,6,1,1,1,1,1
re2ob,re2ob-df7e831dddfac76c,delay,emailservice,2,1,1,5,4,1,1,1,1,1,4,1,1,1,1,1
re2ob,re2ob-e16e6de30ae75ccd,cpu,emailservice,2,1,5,5,3,1,1,1,5,2,3,2,1,1,1,1
re2ob,re2ob-e357bd8aec246cdb,socket,currencyservice,2,2,9,4,3,1,2,2,9,4,3,4,2,1,1,1
re2ob,re2ob-e849d2be7be5c713,socket,recommendationservice,0,1,3,9,1,1,1,1,3,1,5,1,1,1,1,1
re2ob,re2ob-eb8f50fda4f9095f,disk,currencyservice,1,1,10,4,3,1,1,1,10,6,3,6,1,1,1,1
re2ob,re2ob-f209212fc63ac713,mem,emailservice,1,1,8,5,3,1,1,1,8,6,3,6,1,1,1,1
re2ob,re2ob-f2b4cc2f87b35c03,disk,recommendationservice,2,1,7,9,4,1,1,1,7,5,4,5,1,1,1,1
